code_dept,annee,trimestre,taux_chomage
75,2008,4,6.8
76,2008,4,8.6
77,2008,4,5.7
78,2008,4,5.3
79,2008,4,5.7
80,2008,4,9.3
81,2008,4,8.6
82,2008,4,8.3
84,2008,4,9.2
85,2008,4,6.1
86,2008,4,6.9
87,2008,4,6.7
88,2008,4,8.6
89,2008,4,7.2
90,2008,4,8.3
91,2008,4,5.2
92,2008,4,5.8
93,2008,4,9.4
94,2008,4,6.3
95,2008,4,7.3
83,2008,4,8.6
ZA,2008,4,
ZB,2008,4,
ZC,2008,4,
ZD,2008,4,
01,2009,1,6.3
02,2009,1,11.3
03,2009,1,8.6
04,2009,1,9.2
05,2009,1,7.3
06,2009,1,7.7
07,2009,1,9.1
08,2009,1,11.6
09,2009,1,9.6
10,2009,1,8.7
11,2009,1,10.9
12,2009,1,5.9
13,2009,1,10.5
14,2009,1,8.5
15,2009,1,5.8
16,2009,1,8.7
17,2009,1,8.9
18,2009,1,7.8
19,2009,1,6.2
2A,2009,1,7.2
2B,2009,1,8.1
21,2009,1,6.9
22,2009,1,6.8
23,2009,1,7.5
24,2009,1,8.3
25,2009,1,8.7
26,2009,1,9.1
27,2009,1,8.5
28,2009,1,7.6
29,2009,1,7.3
30,2009,1,11.2
31,2009,1,8.4
32,2009,1,6.1
33,2009,1,8.1
34,2009,1,11.6
35,2009,1,6.5
36,2009,1,7.4
37,2009,1,7.3
38,2009,1,7.3
39,2009,1,7.4
40,2009,1,7.4
41,2009,1,7.6
42,2009,1,8.7
43,2009,1,7.1
44,2009,1,7.2
45,2009,1,7.3
46,2009,1,7.5
47,2009,1,8.5
48,2009,1,4.7
49,2009,1,7.7
50,2009,1,7.7
51,2009,1,8.1
52,2009,1,8.9
53,2009,1,6.0
54,2009,1,8.0
55,2009,1,8.8
56,2009,1,7.5
57,2009,1,9.0
58,2009,1,8.4
59,2009,1,11.6
60,2009,1,8.3
61,2009,1,8.6
62,2009,1,11.6
63,2009,1,7.8
64,2009,1,7.3
65,2009,1,9.3
66,2009,1,11.3
67,2009,1,7.4
68,2009,1,8.2
69,2009,1,7.6
70,2009,1,8.3
71,2009,1,7.9
72,2009,1,8.1
73,2009,1,6.7
74,2009,1,6.6
75,2009,1,7.3
76,2009,1,9.5
77,2009,1,6.3
78,2009,1,5.8
79,2009,1,6.4
80,2009,1,10.2
81,2009,1,9.2
82,2009,1,8.9
84,2009,1,10.0
85,2009,1,7.0
86,2009,1,7.6
87,2009,1,7.5
88,2009,1,9.8
89,2009,1,8.4
90,2009,1,9.6
91,2009,1,5.8
92,2009,1,6.3
93,2009,1,9.9
94,2009,1,6.8
95,2009,1,8.0
83,2009,1,9.3
ZA,2009,1,
ZB,2009,1,
ZC,2009,1,
ZD,2009,1,
01,2009,2,7.0
02,2009,2,12.2
03,2009,2,9.1
04,2009,2,9.6
05,2009,2,7.6
06,2009,2,8.3
07,2009,2,9.5
08,2009,2,12.3
