id,code_dept,election_id,nb_inscrits,nb_abstentions,nb_votants,nb_blancs_nuls
579,45,6,457763,115792,341971,27758
580,46,6,139238,31406,107832,14670
581,47,6,241312,58106,183206,19574
582,48,6,59801,13099,46702,5988
583,49,6,589468,138502,450966,37892
584,50,6,384662,91046,293616,25507
585,51,6,380766,99374,281392,20321
586,52,6,129397,32607,96790,7974
587,53,6,224819,51035,173784,14515
588,54,6,492287,133308,358979,29565
589,55,6,134802,32475,102327,7898
590,56,6,609316,135060,474256,44784
591,57,6,746147,212882,533265,38716
592,58,6,154239,41089,113150,11815
593,59,6,1814746,521129,1293617,94430
594,60,6,564184,145130,419054,32397
595,61,6,205553,48758,156795,12969
596,62,6,1093839,273743,820096,58615
597,63,6,468144,116492,351652,38359
598,64,6,519954,124853,395101,46640
599,65,6,177443,43422,134021,16754
600,66,6,362124,94558,267566,25063
601,67,6,778994,197584,581410,40082
602,68,6,531918,141261,390657,28062
603,69,6,1181791,315207,866584,64522
604,70,6,177724,40527,137197,14047
605,71,6,402996,102315,300681,28831
606,72,6,411271,103599,307672,28105
607,73,6,320730,79968,240762,22749
608,74,6,565833,147179,418654,34858
609,75,6,1368623,354494,1014129,64617
610,76,6,879653,222738,656915,56070
611,77,6,899809,266519,633290,56275
612,78,6,961628,254934,706694,52306
613,79,6,273265,64482,208783,19178
614,80,6,409946,98487,311459,24159
615,81,6,298180,71489,226691,25482
616,82,6,188728,43807,144921,14648
617,83,6,821141,214221,606920,44063
618,84,6,411727,106789,304938,24755
619,85,6,551209,120713,430496,35230
620,86,6,306076,76152,229924,21762
621,87,6,263777,64447,199330,24738
622,88,6,277925,67785,210140,17745
623,89,6,237966,61722,176244,15036
624,90,6,93723,25006,68717,6528
625,91,6,799860,234023,565837,48360
626,92,6,998191,257547,740644,53835
627,93,6,794364,308171,486193,43911
628,94,6,796782,245481,551301,46224
629,95,6,733876,238978,494898,41623
630,ZA,6,315941,166884,149057,16722
631,ZB,6,304670,166201,138469,18551
632,ZC,6,103058,62970,40088,4817
633,ZD,6,676080,274588,401492,37228
634,ZM,6,92421,50377,42044,3642
635,ZN,6,218713,142591,76122,4367
636,ZP,6,205633,118714,86919,4116
637,ZS,6,5043,2164,2879,358
638,ZW,6,9514,3674,5840,160
639,ZX,6,24435,15107,9328,691
640,ZZ,6,1427918,876432,551486,18782
