id,departement_code,sexe_id,tranche_age_id,annee,population
764,26,2,4,2007,32171
765,26,2,5,2007,16138
766,27,2,1,2007,78797
767,27,2,2,2007,71428
768,27,2,3,2007,81175
769,27,2,4,2007,33258
770,27,2,5,2007,15260
771,28,2,1,2007,55889
772,28,2,2,2007,53036
773,28,2,3,2007,59241
774,28,2,4,2007,25240
775,28,2,5,2007,13998
776,29,2,1,2007,108125
777,29,2,2,2007,109771
778,29,2,3,2007,123650
779,29,2,4,2007,57116
780,29,2,5,2007,29964
781,30,2,1,2007,86071
782,30,2,2,2007,79474
783,30,2,3,2007,95113
784,30,2,4,2007,47961
785,30,2,5,2007,24133
786,31,2,1,2007,150108
787,31,2,2,2007,181664
788,31,2,3,2007,158544
789,31,2,4,2007,63850
790,31,2,5,2007,32143
791,32,2,1,2007,19474
792,32,2,2,2007,18343
793,32,2,3,2007,26981
794,32,2,4,2007,14977
795,32,2,5,2007,9663
796,33,2,1,2007,171252
797,33,2,2,2007,189313
798,33,2,3,2007,189445
799,33,2,4,2007,81686
800,33,2,5,2007,43491
801,34,2,1,2007,123435
802,34,2,2,2007,128526
803,34,2,3,2007,127332
804,34,2,4,2007,67034
805,34,2,5,2007,35502
806,35,2,1,2007,128249
807,35,2,2,2007,135300
808,35,2,3,2007,124814
809,35,2,4,2007,51221
810,35,2,5,2007,26753
811,36,2,1,2007,25059
812,36,2,2,2007,25647
813,36,2,3,2007,33004
814,36,2,4,2007,18227
815,36,2,5,2007,10851
816,37,2,1,2007,72816
817,37,2,2,2007,73299
818,37,2,3,2007,77890
819,37,2,4,2007,36525
820,37,2,5,2007,19950
821,38,2,1,2007,160171
822,38,2,2,2007,162362
823,38,2,3,2007,156827
824,38,2,4,2007,68612
825,38,2,5,2007,31476
826,39,2,1,2007,32719
827,39,2,2,2007,30135
828,39,2,3,2007,36189
829,39,2,4,2007,17619
830,39,2,5,2007,9713
831,40,2,1,2007,42194
832,40,2,2,2007,41078
833,40,2,3,2007,52424
834,40,2,4,2007,27649
835,40,2,5,2007,14918
836,41,2,1,2007,38815
837,41,2,2,2007,37041
838,41,2,3,2007,45471
839,41,2,4,2007,23138
840,41,2,5,2007,13942
841,42,2,1,2007,92694
842,42,2,2,2007,90833
843,42,2,3,2007,98314
844,42,2,4,2007,49041
845,42,2,5,2007,25688
846,43,2,1,2007,26609
847,43,2,2,2007,25522
848,43,2,3,2007,32006
849,43,2,4,2007,15775
850,43,2,5,2007,8308
851,44,2,1,2007,165435
852,44,2,2,2007,169968
853,44,2,3,2007,167314
854,44,2,4,2007,68312
855,44,2,5,2007,33617
856,45,2,1,2007,84344
857,45,2,2,2007,84125
858,45,2,3,2007,87600
859,45,2,4,2007,39504
860,45,2,5,2007,20819
861,46,2,1,2007,18022
862,46,2,2,2007,17038
863,46,2,3,2007,24631
864,46,2,4,2007,14496
865,46,2,5,2007,8874
866,47,2,1,2007,36811
867,47,2,2,2007,35170
868,47,2,3,2007,44778
869,47,2,4,2007,24904
870,47,2,5,2007,14814
871,48,2,1,2007,8735
872,48,2,2,2007,9011
873,48,2,3,2007,11540
874,48,2,4,2007,5865
875,48,2,5,2007,3426
876,49,2,1,2007,104884
877,49,2,2,2007,100243
878,49,2,3,2007,101191
879,49,2,4,2007,43640
880,49,2,5,2007,24785
881,50,2,1,2007,61425
882,50,2,2,2007,56469
883,50,2,3,2007,70368
884,50,2,4,2007,33869
885,50,2,5,2007,19106
886,51,2,1,2007,73018
887,51,2,2,2007,78348
888,51,2,3,2007,76386
889,51,2,4,2007,31889
890,51,2,5,2007,15507
891,52,2,1,2007,22459
892,52,2,2,2007,22117
893,52,2,3,2007,27163
894,52,2,4,2007,13073
895,52,2,5,2007,6894
896,53,2,1,2007,40378
897,53,2,2,2007,37180
898,53,2,3,2007,40913
899,53,2,4,2007,18668
